"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Micronesia (Federated States of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Monaco",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.0,"E",,1997,0.0,"E",,2002,0.0,"E",,2007,0.0,"E",,2009,0.0,"E",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mongolia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.227,"",,,,"",,2006,0.224,"",,2009,0.242,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Montenegro",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.0066,"E",,2010,0.0017,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Morocco",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,10.18,"",,1995,9.884,"I",,2002,11.05,"",,,,"",,2010,9.156,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mozambique",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.54,"",,,,"",,2001,0.69,"L","[135]",,,"",,,,"",,2015,1.076,"",
"Agricultural water withdrawal (10^9 m3/year)","Myanmar",,,"",,,,"",,,,"",,,,"",,,,"",,1987,27.86,"I",,,,"",,,,"",,2000,29.57,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Namibia",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.115,"",,1991,0.17,"",,1995,0.1915,"I",,2002,0.201,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Nauru",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Nepal",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,9.32,"L","[136,137]",2006,9.32,"L","[138]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Netherlands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.184,"E",,1996,0.23,"E","[139]",2002,0.0526,"E","[140]",2007,0.0719,"E","[141]",2012,0.0602,"E","[142]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","New Zealand",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.836,"",,,,"",,,,"",,,,"",,2006,2.82,"E","[143]",2010,3.207,"E","[144]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Nicaragua",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,1.18,"",,,,"",,2011,1.185,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Niger",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,0.41,"",,,,"",,,,"",,2005,0.6565,"L","[145]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Nigeria",,,"",,,,"",,,,"",,,,"",,,,"",,1987,3.92,"L",,,,"",,,,"",,2000,5.51,"L",,2004,5.51,"L",,2010,5.51,"L",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Niue",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Norway",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,0.73,"E",,2002,0.808,"E",,2006,0.8449,"E",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Occupied Palestinian Territory",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,0.167,"",,2005,0.189,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Oman",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,1.148,"",,,,"",,2000,1.23,"L",,2003,1.168,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Pakistan",,,"",,,,"",,,,"",,1975,150.3,"",,,,"",,,,"",,1991,150.6,"",,,,"",,2000,162.7,"L",,,,"",,2008,172.4,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Palau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Panama",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,0.446,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Papua New Guinea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.001,"L",,2005,0.001,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Paraguay",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.3354,"",,,,"",,,,"",,2000,0.35,"L",,,,"",,2012,1.897,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Peru",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,12.12,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Philippines",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,65.59,"","[146]",2009,67.07,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Poland",,,"",,,,"",,1970,1.681,"E",,1975,1.662,"E","[147]",1980,1.323,"E","[148]",1985,1.606,"E","[149]",1992,1.37,"E","[150]",1997,1.083,"E","[151]",2002,1.108,"E","[152]",2007,1.122,"E","[153]",2012,1.102,"E","[154]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Portugal",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,5.1,"E",,1995,10.0,"E",,1998,8.767,"E",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Puerto Rico",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.2063,"","[155]",,,"",,2000,0.1306,"",,2005,0.0739,"","[156]",2010,0.0641,"","[157]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Qatar",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.2106,"",,2000,0.21,"L",,2005,0.262,"","[158]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Republic of Korea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,14.1,"E",,1997,15.29,"E",,2002,16.1,"E","[159]",2003,15.96,"E",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Republic of Moldova",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.775,"",,1996,0.35,"",,,,"",,2007,0.036,"",,2012,0.039,"",,2013,0.038,"",
"Agricultural water withdrawal (10^9 m3/year)","Romania",,,"",,,,"",,1970,3.4,"",,1975,5.75,"",,1980,6.79,"",,1985,8.49,"",,1990,9.1,"",,1997,2.98,"",,2002,1.192,"E","[160]",2007,1.099,"E","[161]",2012,1.093,"E","[162]",2013,1.135,"E","[163]"
"Agricultural water withdrawal (10^9 m3/year)","Russian Federation",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,15.3,"",,2001,13.2,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Rwanda",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.102,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saint Kitts and Nevis",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2.0E-4,"L","[164]",,,"",,,,"",,2012,2.0E-4,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saint Lucia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.0304,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saint Vincent and the Grenadines",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.0101,"L","[165]",,,"",,,,"",,,,"",,,,"",,2013,0.0,"I",
"Agricultural water withdrawal (10^9 m3/year)","Samoa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","San Marino",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sao Tome and Principe",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saudi Arabia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,15.31,"",,,,"",,,,"",,2006,20.83,"E",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Senegal",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.251,"",,,,"",,,,"",,2002,2.065,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Serbia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.1282,"E","[166]",2011,0.0974,"E",,2013,0.1167,"E","[167]"
"Agricultural water withdrawal (10^9 m3/year)","Seychelles",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,9.0E-4,"I",,,,"",,,,"",,2003,9.0E-4,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sierra Leone",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.329,"",,1992,0.0457,"L","[168]",,,"",,2000,0.0457,"L","[169,170]",2005,0.0457,"L","[171,172]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Singapore",,,"",,,,"",,,,"",,1975,0.0076,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Slovakia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"","[173]",1997,0.067,"E","[174]",2002,0.056,"E","[175]",2007,0.0225,"E","[176]",2012,0.0307,"E","[177]",2014,0.0229,"E",
"Agricultural water withdrawal (10^9 m3/year)","Slovenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.0037,"E","[178]",1995,0.0048,"E","[179]",2002,0.0066,"E",,2007,0.0046,"E","[180]",2012,0.0023,"E","[181]",2013,0.0036,"E","[182]"
"Agricultural water withdrawal (10^9 m3/year)","Solomon Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Somalia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.786,"",,,,"",,,,"",,2000,3.28,"L",,2003,3.281,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","South Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,9.58,"",,1995,8.708,"I",,2000,7.836,"",,,,"",,,,"",,2013,9.69,"",
"Agricultural water withdrawal (10^9 m3/year)","South Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,0.24,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Spain",,,"",,,,"",,,,"",,,,"",,,,"",,1986,28.43,"",,1991,23.7,"E","[183]",1997,23.41,"E","[184]",2002,23.04,"E","[185]",2007,23.18,"E","[186]",2012,25.47,"E","[187]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sri Lanka",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,9.379,"",,,,"",,2000,12.0,"L",,2005,11.31,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sudan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,25.91,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Suriname",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.41,"",,,,"",,,,"",,2000,0.62,"L",,2006,0.4311,"L","[188]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Swaziland",,,"",,,,"",,,,"",,,,"",,1980,0.63,"",,,,"",,,,"",,,,"",,2000,1.006,"I","[189]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sweden",,,"",,,,"",,1970,0.132,"E","[190]",1975,0.137,"E","[191]",1980,0.14,"E","[192]",,,"",,1992,0.174,"E",,1997,0.15,"E","[193]",2002,0.135,"E",,2007,0.107,"E","[194]",2010,0.098,"E","[195]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Switzerland",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.05,"L",,,,"",,2012,0.1601,"E","[196]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Syrian Arab Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,12.84,"",,2002,14.41,"",,2003,14.67,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tajikistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,10.96,"",,2000,10.96,"L",,2006,10.44,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Thailand",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,51.79,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","The former Yugoslav Republic of Macedonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,1.066,"",,2002,0.2814,"E","[197]",2007,0.1255,"E","[198]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Timor-Leste",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2004,1.071,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Togo",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.023,"",,,,"",,,,"",,2002,0.076,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tokelau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tonga",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Trinidad and Tobago",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.0156,"",,2000,0.017,"",,2005,0.015,"I",,2011,0.0167,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tunisia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,2.728,"",,1995,2.446,"I",,2000,2.165,"",,,,"",,2011,2.644,"I","[199]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Turkey",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,22.9,"",,,,"",,2000,31.5,"",,2003,29.6,"",,2008,34.0,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Turkmenistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,23.29,"",,2000,24.04,"L",,2004,26.36,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tuvalu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Uganda",,,"",,,,"",,1970,0.12,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.12,"",,,,"",,2008,0.259,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ukraine",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,7.865,"I",,,,"",,2000,5.485,"I",,2005,4.525,"I",,2010,4.454,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","United Arab Emirates",,,"",,,,"",,,,"",,,,"",,1980,0.72,"",,,,"",,,,"",,1995,1.408,"",,2000,2.279,"I",,2005,3.312,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","United Kingdom",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.6681,"E",,1995,1.723,"E",,2002,1.308,"E","[200,201]",2007,1.33,"E","[202]",2012,1.049,"E","[203]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","United Republic of Tanzania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,1.04,"",,2002,4.632,"K","[204]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","United States of America",,,"",,,,"",,1969,100.1,"",,1974,106.5,"",,1979,117.1,"",,,,"",,1990,194.7,"","[205]",,,"",,2000,196.5,"","[206,207]",2005,191.9,"","[208,209]",2010,175.1,"","[210,211]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Uruguay",,,"",,1965,0.5915,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,3.17,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Uzbekistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,54.37,"",,2001,54.78,"",,2005,50.4,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Vanuatu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Venezuela (Bolivarian Republic of)",,,"",,,,"",,1970,1.886,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,3.97,"L",,2007,16.71,"I",,2008,16.71,"L","[212]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Viet Nam",,,"",,,,"",,,,"",,,,"",,1980,35.04,"",,1985,40.65,"",,1990,47.0,"",,,,"",,,,"",,2005,77.75,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Yemen",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,2.7,"",,,,"",,2000,3.06,"",,2005,3.235,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Zambia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.339,"",,1994,1.318,"",,2002,1.152,"L","[213]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Zimbabwe",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.964,"",,,,"",,,,"",,2002,3.318,"","[214]",2007,2.93,"","[215]",,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Industrial water withdrawal (10^9 m3/year)","Afghanistan",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0,"",,,,"",,,,"",,2000,0.1285,"L",,2005,0.1695,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Albania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.1,"",,,,"",,2000,0.2274,"L",,2005,0.2318,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Algeria",,,"",,,,"",,,,"",,,,"",,1980,0.12,"",,,,"",,1990,0.68,"",,,,"",,2000,0.5,"I",,,,"",,2012,0.415,"I","[216]",,,"",
"Industrial water withdrawal (10^9 m3/year)","Andorra",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Angola",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.048,"",,,,"",,,,"",,2000,0.1845,"L",,2005,0.2396,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Antigua and Barbuda",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.001,"",,,,"",,,,"",,2005,0.0018,"L",,2012,0.0025,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Argentina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,2.5,"",,2000,3.975,"L",,,,"",,2011,4.0,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Armenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.12,"",,2002,0.0766,"I",,2006,0.125,"I",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Australia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,2.227,"",,2005,2.332,"",,2012,2.688,"",,2013,2.519,"",
"Industrial water withdrawal (10^9 m3/year)","Austria",,,"",,,,"",,,,"",,,,"",,1980,2.694,"E",,1985,2.671,"E",,1990,3.022,"E",,1997,2.857,"E",,1999,2.899,"E",,,,"",,2008,2.695,"E",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Azerbaijan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2.132,"",,2002,1.977,"",,2005,2.36,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bahrain",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.01,"",,,,"",,,,"",,2003,0.0203,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bangladesh",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.225,"",,1990,0.33,"",,,,"",,,,"",,,,"",,2008,0.77,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Barbados",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,0.0062,"",,,,"",,2005,0.0062,"I",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Belarus",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.66,"I","[217]",2000,0.5445,"I","[218]",2005,0.494,"I","[219]",2010,0.4875,"I","[220]",2013,0.478,"I","[221]"
"Industrial water withdrawal (10^9 m3/year)","Belgium",,,"",,,,"",,,,"",,,,"",,1980,7.676,"",,,,"",,,,"",,1997,6.8,"E",,2002,5.964,"E",,2007,5.45,"E",,2009,5.256,"E",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Belize",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0,"",,,,"",,,,"",,2000,0.0212,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Benin",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.015,"",,,,"",,,,"",,2001,0.03,"I",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bhutan",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.002,"",,,,"",,,,"",,,,"",,,,"",,2008,0.003,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bolivia (Plurinational State of)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.062,"",,,,"",,,,"",,,,"",,,,"",,2009,0.032,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bosnia and Herzegovina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,0.0488,"E",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Botswana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.023,"",,1995,0.0275,"I",,2000,0.035,"","[222]",2005,0.0389,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Brazil",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,9.94,"",,,,"",,2006,10.14,"",,2010,12.72,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Brunei Darussalam",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Bulgaria",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,4.852,"E",,,,"",,2002,4.776,"E",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Burkina Faso",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.0,"",,1992,0.0,"",,1995,0.003,"I",,2000,0.0161,"L",,2005,0.0217,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Burundi",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0,"",,,,"",,,,"",,2000,0.017,"I",,2005,0.015,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Cabo Verde",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,4.0E-4,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Cambodia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0052,"",,,,"",,,,"",,,,"",,2006,0.033,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Cameroon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.076,"",,1992,0.076,"",,,,"",,2000,0.0683,"L",,2005,0.1046,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Canada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,36.0,"E",,1996,32.91,"E",,2000,31.57,"L",,2007,33.12,"E",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Central African Republic",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.004,"",,,,"",,,,"",,2000,0.011,"L",,2005,0.012,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Chad",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.004,"",,,,"",,,,"",,2000,0.0885,"L",,2005,0.1037,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Chile",,,"",,,,"",,,,"",,1975,0.84,"",,,,"",,,,"",,1992,2.211,"",,,,"",,2000,2.324,"L",,2006,4.744,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","China",,,"",,,,"",,,,"",,,,"",,1980,45.73,"",,1985,36.17,"I",,1990,50.0,"",,1993,92.55,"",,2000,127.7,"L",,2005,128.6,"",,2010,144.7,"",,2013,140.6,"",
"Industrial water withdrawal (10^9 m3/year)","Colombia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.359,"",,,,"",,2008,2.242,"","[223]",,,"",
"Industrial water withdrawal (10^9 m3/year)","Comoros",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1999,5.0E-4,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Congo",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0108,"",,,,"",,,,"",,2002,0.01,"",,2005,0.024,"L",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Cook Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Industrial water withdrawal (10^9 m3/year)","Costa Rica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2013,0.26,"",
