"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Honduras",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2003,1.178,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Hungary",,,"",,,,"",,1970,0.665,"E","[92]",1975,0.8903,"E","[93]",,,"",,1985,2.286,"",,1992,0.949,"E","[94]",1996,0.4556,"E","[95]",2002,0.6796,"E","[96]",2006,0.3054,"E","[97]",2012,0.322,"E","[98]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Iceland",,,"",,,,"",,,,"",,,,"",,1980,0.004,"E",,1985,0.004,"E","[99]",1992,0.07,"E","[100]",,,"",,2002,0.07,"E","[101]",2004,0.07,"E","[102]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","India",,,"",,,,"",,,,"",,1975,353.4,"",,1980,411.7,"I",,1986,468.0,"I",,1990,460.0,"",,,,"",,2000,558.4,"L",,,,"",,2010,688.0,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Indonesia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,69.24,"",,,,"",,2000,92.76,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Iran (Islamic Republic of)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,76.0,"",,2001,83.75,"I",,2004,86.0,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Iraq",,,"",,,,"",,,,"",,1975,39.53,"",,1980,39.77,"I",,1985,40.0,"",,1990,39.38,"",,1995,45.69,"I",,2000,52.0,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ireland",,,"",,,,"",,1970,0.179,"E",,,,"",,1980,0.13,"E",,,,"",,,,"",,1994,0.179,"E","[103]",,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Israel",,,"",,,,"",,1970,1.249,"",,1975,1.242,"I",,1980,1.235,"",,,,"",,1990,1.216,"",,,,"",,2002,1.021,"",,2004,1.129,"",,2009,1.016,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Italy",,,"",,,,"",,1970,25.6,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,20.01,"L",,2007,12.89,"L","[104]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Jamaica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.696,"",,,,"",,2007,0.448,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Japan",,,"",,,,"",,,,"",,,,"",,1980,58.0,"",,,,"",,1992,58.6,"",,1997,58.88,"E",,2002,56.05,"E","[105]",2007,54.5,"E","[106]",2009,54.43,"E","[107]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Jordan",,,"",,,,"",,,,"",,1975,0.293,"",,1980,0.377,"I",,1985,0.461,"",,1992,0.737,"",,,,"",,,,"",,2005,0.6112,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kazakhstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,27.41,"",,2002,14.8,"",,2007,14.03,"",,2010,14.0,"","[108]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kenya",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,1.566,"",,,,"",,2000,1.01,"L",,2003,1.75,"","[109]",2010,1.907,"","[110]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kiribati",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kuwait",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.324,"",,2002,0.4919,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kyrgyzstan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,9.496,"",,2000,9.45,"L",,2006,7.447,"",,2011,7.1,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Lao People's Democratic Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,3.193,"L","[111]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Latvia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.036,"",,2002,0.0532,"E","[112]",2007,0.0506,"E","[113]",2012,0.0408,"E","[114]",2013,0.0363,"E","[115]"
"Agricultural water withdrawal (10^9 m3/year)","Lebanon",,,"",,,,"",,,,"",,1975,0.638,"",,,,"",,,,"",,,,"",,1994,0.875,"",,2000,0.92,"L",,2005,0.78,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Lesotho",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.028,"",,,,"",,,,"",,1999,0.0038,"L","[116]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Liberia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.078,"",,,,"",,,,"",,2000,0.0123,"L","[117]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Libya",,,"",,,,"",,,,"",,,,"",,,,"",,1985,1.965,"",,1990,4.28,"",,1994,4.0,"",,2000,3.584,"",,,,"",,2012,4.85,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Liechtenstein",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Lithuania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.008,"",,2001,0.053,"E","[118]",2007,0.0818,"E","[119]",2011,0.0656,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Luxembourg",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,2.0E-4,"E",,1999,2.0E-4,"E",,,,"",,2012,2.0E-4,"E","[120]",2013,3.0E-4,"E","[121]"
"Agricultural water withdrawal (10^9 m3/year)","Madagascar",,,"",,,,"",,,,"",,,,"",,,,"",,1984,16.14,"",,,,"",,,,"",,2000,13.0,"I",,2005,13.0,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Malawi",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.809,"",,2002,1.166,"L","[122]",2005,1.166,"L","[123,124]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Malaysia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,8.3,"I",,1996,2.505,"L","[125]",2000,2.505,"L","[126,127]",2005,2.505,"L","[128,129]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Maldives",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0,"",,,,"",,,,"",,,,"",,,,"",,2008,0.0,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mali",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.319,"",,,,"",,1996,3.725,"",,2001,4.99,"",,2006,5.075,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Malta",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.007,"",,2002,0.0189,"E","[130]",2007,0.0203,"E","[131]",2012,0.0241,"E","[132]",2013,0.029,"E","[133]"
"Agricultural water withdrawal (10^9 m3/year)","Marshall Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mauritania",,,"",,,,"",,,,"",,,,"",,1980,0.613,"",,1985,1.5,"",,,,"",,,,"",,2000,1.5,"L",,2004,1.223,"L","[134]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mauritius",,,"",,,,"",,,,"",,1974,0.2768,"",,,,"",,,,"",,,,"",,1995,0.46,"",,,,"",,2003,0.491,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mexico",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,62.5,"E",,2002,56.1,"",,2007,60.57,"",,2011,61.58,"",,,,"",
